"term","estimate","std_error","z_value","p_value"
"(Intercept)",-0.377,0.387,-0.974,0.33
"treatmentcatfish",0.78,0.361,2.159,0.031
"treatmenteel",-0.13,0.367,-0.354,0.723
"light_regimeDARK",-0.07,0.375,-0.188,0.851
"time_zoneDURING",0.73,0.374,1.953,0.051
"time_zoneAFTER",2.096,0.592,3.538,0
"time_sc",0.129,0.142,0.908,0.364
"treatmentcatfish:light_regimeDARK",-0.713,0.513,-1.39,0.164
"treatmenteel:light_regimeDARK",-0.264,0.524,-0.504,0.614
"treatmentcatfish:time_zoneDURING",-0.005,0.489,-0.01,0.992
"treatmenteel:time_zoneDURING",-0.186,0.482,-0.387,0.699
"treatmentcatfish:time_zoneAFTER",-1.564,0.628,-2.492,0.013
"treatmenteel:time_zoneAFTER",-1.559,0.616,-2.53,0.011
"light_regimeDARK:time_zoneDURING",-0.552,0.495,-1.115,0.265
"light_regimeDARK:time_zoneAFTER",-1.985,0.629,-3.153,0.002
"treatmentcatfish:light_regimeDARK:time_zoneDURING",0.151,0.686,0.221,0.825
"treatmenteel:light_regimeDARK:time_zoneDURING",0.369,0.689,0.536,0.592
"treatmentcatfish:light_regimeDARK:time_zoneAFTER",2.571,0.847,3.035,0.002
"treatmenteel:light_regimeDARK:time_zoneAFTER",1.558,0.838,1.86,0.063
