"contrast","treatment","light_regime","estimate","SE","df","z.ratio","p.value"
"BEFORE - DURING","catfish","DARK",-0.324261299803383,0.355707978138197,Inf,-0.911594115770446,0.632952344048205
"BEFORE - AFTER","catfish","DARK",-1.11745047399134,0.526534245086806,Inf,-2.1222750170924,0.0853550323342056
"DURING - AFTER","catfish","DARK",-0.793189174187953,0.432433442747047,Inf,-1.83424567986508,0.158453102973177
"BEFORE - DURING","control","DARK",-0.177922556261591,0.375638575923254,Inf,-0.473653579971887,0.883705959643275
"BEFORE - AFTER","control","DARK",-0.111226580705487,0.53184559144442,Inf,-0.209133219292861,0.976177269191493
"DURING - AFTER","control","DARK",0.0666959755561035,0.436279207687066,Inf,0.152874522509776,0.987198385063292
"BEFORE - DURING","eel","DARK",-0.360872320669553,0.369742876114588,Inf,-0.976008853670824,0.592059896244782
"BEFORE - AFTER","eel","DARK",-0.110622487193345,0.526411235743527,Inf,-0.21014461637981,0.975949113305877
"DURING - AFTER","eel","DARK",0.250249833476208,0.425251130243137,Inf,0.588475410595918,0.826307837481877
"BEFORE - DURING","catfish","LIGHT",-0.724860517080164,0.366488556119854,Inf,-1.97785307337976,0.117678069877038
"BEFORE - AFTER","catfish","LIGHT",-0.531572178535266,0.530392528361903,Inf,-1.00222410782634,0.57543831469348
"DURING - AFTER","catfish","LIGHT",0.193288338544899,0.452769316324931,Inf,0.4269024679362,0.904440535855401
"BEFORE - DURING","control","LIGHT",-0.729907442538274,0.373761702184692,Inf,-1.95286846745362,0.124123735693908
"BEFORE - AFTER","control","LIGHT",-2.09596329170153,0.592475004799868,Inf,-3.537640026535,0.00117469448505514
"DURING - AFTER","control","LIGHT",-1.36605584916326,0.508860112878326,Inf,-2.68454102530512,0.0198729149020453
"BEFORE - DURING","eel","LIGHT",-0.543615875800933,0.357901871844465,Inf,-1.51889643102279,0.281979696158695
"BEFORE - AFTER","eel","LIGHT",-0.537055912028576,0.516425832412895,Inf,-1.03994780725684,0.551610496305092
"DURING - AFTER","eel","LIGHT",0.00655996377235656,0.418283055825568,Inf,0.0156830731749559,0.99986440507949
