"contrast","time_zone","light_regime","estimate","SE","df","z.ratio","p.value"
"catfish - control","BEFORE","DARK",0.0671081243182004,0.365788101486569,Inf,0.183461747513032,0.98161566617555
"catfish - eel","BEFORE","DARK",0.461389753964582,0.364441131319565,Inf,1.26601998049448,0.414475878899713
"control - eel","BEFORE","DARK",0.394281629646382,0.376497446165318,Inf,1.04723586749976,0.547024416991672
"catfish - control","DURING","DARK",0.213446867859992,0.315332237750617,Inf,0.676895167403717,0.776958331789524
"catfish - eel","DURING","DARK",0.424778733098412,0.307954166264664,Inf,1.37935699409679,0.351742614281302
"control - eel","DURING","DARK",0.211331865238419,0.318638468783635,Inf,0.66323399696576,0.78482542753926
"catfish - control","AFTER","DARK",1.07333201760405,0.435719171043746,Inf,2.46335733870265,0.0366634435378257
"catfish - eel","AFTER","DARK",1.46821774076257,0.429549730802784,Inf,3.41803901964652,0.00182514468497885
"control - eel","AFTER","DARK",0.394885723158524,0.426604234555257,Inf,0.925648859463853,0.624036404875146
"catfish - control","BEFORE","LIGHT",0.780440422307959,0.361519355158895,Inf,2.15877908380573,0.0784280151139074
"catfish - eel","BEFORE","LIGHT",0.91028339643138,0.352854486051209,Inf,2.57976994034666,0.0267285617069943
"control - eel","BEFORE","LIGHT",0.129842974123421,0.366674689206017,Inf,0.35410945436288,0.933219567120515
"catfish - control","DURING","LIGHT",0.775393496849849,0.331149097392848,Inf,2.34152381194621,0.0502760720476318
"catfish - eel","DURING","LIGHT",1.09152803771061,0.321945546462002,Inf,3.39041198024288,0.00201660681613214
"control - eel","DURING","LIGHT",0.316134540860763,0.314814325341147,Inf,1.00419363228844,0.574191204248842
"catfish - control","AFTER","LIGHT",-0.783950690858309,0.513870547806879,Inf,-1.52558011780222,0.278863240674798
"catfish - eel","AFTER","LIGHT",0.904799662938069,0.431794840406917,Inf,2.09543880164339,0.090753808593202
"control - eel","AFTER","LIGHT",1.68875035379638,0.496537902863073,Inf,3.40105024019098,0.00194078689137323
